date,sejrik,mencik2,Mates511,ominar
2019-01-24,67,76,0,0
2019-01-25,67,76,0,0
2019-01-26,67,76,0,0
2019-01-27,67,76,0,0
2019-01-28,67,76,0,0
2019-01-29,67,76,0,0
2019-01-30,67,76,0,0
2019-01-31,67,76,0,0
2019-02-01,67,76,0,0
2019-02-02,67,76,0,0
2019-02-03,67,76,0,0
2019-02-04,67,76,0,0
2019-02-05,67,76,0,0
2019-02-06,67,76,0,0
2019-02-07,67,76,0,0
2019-02-08,67,76,0,0
2019-02-09,67,76,0,0
2019-02-10,67,76,0,0
2019-02-11,67,76,0,0
2019-02-12,67,76,0,0
2019-02-13,67,76,0,0
2019-02-14,67,76,0,0
2019-02-15,67,76,0,0
2019-02-16,67,76,0,0
2019-02-17,67,76,0,0
2019-02-18,67,76,0,0
2019-02-19,67,76,0,0
2019-02-20,67,76,0,0
2019-02-21,67,76,0,0
2019-02-22,67,76,0,0
2019-02-23,67,76,0,0
2019-02-24,67,76,0,0
2019-02-25,67,76,0,0
2019-02-26,67,76,0,0
2019-02-27,67,76,0,0
2019-02-28,67,76,0,0
2019-03-01,67,76,0,0
2019-03-02,67,76,0,0
2019-03-03,67,78,0,0
2019-03-04,67,78,0,0
2019-03-05,67,78,0,0
2019-03-06,67,78,0,0
2019-03-07,67,78,0,0
2019-03-08,67,78,0,0
2019-03-09,68,78,0,0
2019-03-10,68,78,0,0
2019-03-11,68,78,0,0
2019-03-12,68,78,0,0
2019-03-13,68,78,0,0
2019-03-14,68,78,0,0
2019-03-15,68,78,0,0
2019-03-16,68,78,0,0
2019-03-17,68,78,0,0
2019-03-18,68,78,0,0
2019-03-19,68,78,0,0
2019-03-20,68,78,0,0
2019-03-21,68,78,0,0
2019-03-22,68,78,0,0
2019-03-23,68,78,0,0
2019-03-24,68,78,0,0
2019-03-25,68,78,0,0
2019-03-26,68,78,0,0
2019-03-27,68,78,0,0
2019-03-28,68,78,0,0
2019-03-29,68,78,0,0
2019-03-30,68,78,0,0
2019-03-31,68,78,0,0
2019-04-01,68,78,0,0
2019-04-02,68,78,0,0
2019-04-03,68,78,0,0
2019-04-04,68,78,0,0
2019-04-05,68,78,0,0
2019-04-06,68,78,0,0
2019-04-07,68,78,0,0
2019-04-08,68,78,0,0
2019-04-09,68,78,0,0
2019-04-10,68,78,0,0
2019-04-11,68,78,0,0
2019-04-12,68,78,0,0
2019-04-13,68,78,0,0
2019-04-14,68,78,0,0
2019-04-15,68,78,0,0
2019-04-16,68,78,0,0
2019-04-17,68,78,0,0
2019-04-18,68,78,0,0
2019-04-19,68,78,0,0
2019-04-20,68,78,0,0
2019-04-21,68,78,0,0
2019-04-22,68,78,0,0
2019-04-23,68,78,0,0
2019-04-24,68,78,0,0
2019-04-25,68,78,0,0
2019-04-26,68,78,0,0
2019-04-27,68,78,0,0
2019-04-28,68,78,0,0
